name,address,long,lat
尖沙咀公共圖書館,"九龍尖沙咀東部科學館道1號,康宏廣場1樓",114-10-42,22-18-7
沙田就業中心,新界沙田上禾輋路1號沙田政府合署2樓,0114/11/13,22-23-8
展城館,香港中環愛丁堡廣場3號,114-9-44,22-16-57
香港仔公共圖書館,香港香港仔大道203號香港仔市政大廈3樓,0114/9/16,22-14-58
灣仔政府大樓,香港灣仔港灣道12號地下,0114/10/21,22-16-49
慈雲山(南區)社區中心,九龍慈雲山雲華街45號,114-11-58,22-20-46
鴨脷洲體育館,香港鴨脷洲洪聖街8號鴨脷洲市政大廈1至4樓,0114/9/20,22-14-40
元朗大球場,新界元朗體育路6號,0114/1/16,22-26-34
皇后像廣場花園,香港中環遮打道,114-9-35,22-16-52
葵青民政事務處 - 諮詢服務中心,新界葵涌興芳路166-174號葵興政府合署2樓,114-7-54,22-21-47
北區公園,新界上水馬會道,0114/8/3,22-29-57
富山公共圖書館,九龍富山邨富仁樓地庫一層1-4號單位,0114/12/30,22-20-34
香港火葬預訂辦事處,香港灣仔皇后大道東213號胡忠大廈18樓,0114/10/22,22-16-28
柴灣街市熟食中心,香港柴灣柴灣道338號柴灣市政大廈2樓,114-14-24,22-15-48
和興體育館,新界粉嶺和鳴里8號地下及1樓,114-8-35,22-29-5
油塘社區會堂,九龍油塘高超道38號,114-14-20,22-17-44
小西灣體育館,"香港小西灣道15號, 小西灣綜合大樓2-4樓",114-14-58,22-15-49
牛頭角街市熟食中心,九龍觀塘牛頭角道183號1樓,114-12-60,22-19-19
林士德體育館,新界葵涌興芳路176號地下,114-7-46,22-21-40
港澳碼頭(內碼頭及外碼頭旅客離境等候大堂),香港上環干諾道中200號信德中心,0114/9/9,22-17-21
堅尼地城社區綜合大樓,香港堅尼地城石山街12號,114-7-46,22-16-55
勞工處就業一站,新界天水圍天晴邨天晴社區綜合服務大樓四樓401室,114-0-16,22-27-48
坪洲公共圖書館,新界坪洲寶坪街6號坪洲市政大廈地下,0114/2/17,22-17-6
人事登記處 - 九龍辦事處,九龍深水埗長沙灣道303號長沙灣政府合署3樓,114-9-37,22-19-54
麗閣社區會堂,九龍長沙灣麗閣邨地下,0114/9/27,22-20-2
慈雲山公共圖書館,九龍慈雲山毓華街23號慈雲山中心702室,0114/12/2,22-20-54
香港壁球中心,香港中環紅棉路23號地下及1樓,114-9-36,22-16-39
香港大會堂,香港中環愛丁堡廣場5號低座,114-9-41,22-16-56
金鐘道政府合署,香港金鐘道66號高座大堂及低座1樓,114-9-51,22-16-41
西灣河母嬰健康院,香港西灣河太康街28號西灣河健康中心2樓,114-13-26,22-17-5
渣華道體育館,香港北角渣華道99號渣華道市政大廈3至5樓,114-11-58,22-17-32
東涌就業中心,新界大嶼山東涌逸東邨逸東商場2樓211A號舖,113-56-6,22-16-53
賽馬會屯門蝴蝶灣體育館,新界屯門湖山路11號地下及1樓,113-57-53,22-22-43
士美非路公共圖書館,香港堅尼地城士美非路12k號士美非路市政大廈3樓,114-7-43,22-16-55
西貢郊野公園遊客中心,新界西貢北潭涌,114-19-10,22-23-52
美田社區會堂,新界沙田大圍美滿里9號,0114/10/21,22-22-34
漁灣街市熟食中心,香港柴灣怡豐街33號漁灣街市1樓,114-14-26,22-15-55
利安社區會堂,新界沙田馬鞍山利安邨利安綜合服務大樓,114-14-28,22-25-39
稅務大樓,香港灣仔告士打道5號地下,0114/10/19,22-16-47
紅磡市政大廈體育館,九龍紅磡馬頭圍道11號紅磡市政大廈3至5樓,0114/11/14,22-18-26
源禾路體育館,新界沙田源禾路8號地下及1樓,114-11-33,22-22-59
雅麗珊社區中心,新界荃灣大河道60號地下,114-6-53,22-22-17
銅鑼灣社區中心,香港銅鑼灣福蔭道 7 號,0114/11/28,22-17-18
長沙灣政府合署,九龍長沙灣道303號地下及3樓,114-9-37,22-19-54
大興公共圖書館,新界屯門大興商場二樓80號,113-58-13,22-24-8
鰂魚涌社區會堂,香港基利路1號鰂魚涌社區綜合大樓地下,114-12-51,22-17-2
保安道街市熟食中心,九龍長沙灣保安道325-329號保安道街市市政大廈2樓,0114/9/28,22-20-19
入境事務處 - 旅行證件及國籍(申請)組 / 旅行證件(簽發)組,香港灣仔告士打道7號入境事務大樓4樓,0114/10/23,22-16-47
維多利亞公園游泳池,香港銅鑼灣興發街1號,0114/11/25,22-17-3
北區社區中心,新界上水龍運街2號,114-7-44,22-30-5
赤柱體育館,香港赤柱市場道6號赤柱市政大廈地面上層及1樓,114-12-44,22-13-9
香港動植物公園,香港中環雅賓利道,0114/9/23,22-16-39
駱克道體育館,香港灣仔軒尼詩道225號駱克道市政大廈10至11樓,114-10-32,22-16-41
東區民政事務處 - 諮詢服務中心,香港西灣河太安街29號東區法院大樓地下,114-13-27,22-17-3
薄扶林公共圖書館,香港華富邨華珍樓611-619室,0114/8/10,22-15-2
入境事務處 - 其他簽證及入境許可組,香港灣仔告士打道7號入境事務大樓7樓,0114/10/23,22-16-47
將軍澳體育館,新界西貢將軍澳運隆路9號地下及1樓,114-15-35,22-19-2
顯徑鄰里社區中心,新界沙田顯和里5號,0114/10/29,22-21-60
大埔公共圖書館,"新界大埔鄉事會街8號,大埔綜合大樓5樓",114-9-60,22-26-46
運頭塘鄰里社區中心,新界大埔運頭塘邨地下,114-9-58,22-26-32
元朗劇院,新界元朗體育路9號,0114/1/21,22-26-29
大埔政府合署,新界大埔汀角路1號地下,114-9-51,22-27-3
柴灣公園,香港柴灣公園翠灣街,114-14-18,22-15-57
離島民政事務處 - 梅窩諮詢服務中心,新界大嶼山梅窩銀鑛灣路2號梅窩政府合署地下,113-59-53,22-15-58
小西灣社區會堂,香港柴灣小西灣道15號,114-14-59,22-15-49
沙頭角公共圖書館,新界沙頭角邨第20座地下1號舖,114-13-28,22-32-46
香港單車館公園,新界將軍澳寶康路105-107號,114-15-42,22-18-49
通州街公園壁球中心,九龍深水埗通州街,114-9-32,22-19-36
土地註冊處客戶服務中心,香港金鐘道66號金鐘道政府合署19樓,114-9-50,22-16-40
石硤尾社區會堂,九龍深水埗南昌街石硤尾邨42座地下至1樓,114-9-58,22-19-58
紡織商登記辦事處,香港九龍彌敦道700號工業貿易署大樓2樓,0114/10/10,22-19-14
愛秩序灣社區會堂,香港筲箕灣愛東邨愛寶樓地下,114-13-31,22-16-55
清水灣郊野公園遊客中心,新界西貢清水灣郊野公園,114-18-3,22-17-27
荃灣西約體育館,新界荃灣海安路68號地下及1樓,0114/6/2,22-22-14
香港科學館,九龍尖沙咀東部科學館道2號1樓,114-10-40,22-18-4
花園街體育館,九龍旺角花園街123A號花園街市政大廈7樓、10至13樓,0114/10/15,22-19-15
青衣公共圖書館,"新界青衣青綠街38號,青衣市政大廈1樓",0114/6/23,22-21-15
天瑞社區中心,新界天水圍天瑞邨地下及4樓,113-59-58,22-27-18
新田圍社區會堂,新界沙田沙田頭路29號新田圍商場5樓,0114/11/9,22-22-13
元朗容鳳書母嬰健康院,新界元朗西菁街26號容鳳書健康中心1樓,114-1-38,22-26-28
東九龍政府合署,九龍觀塘鯉魚門道12號地下,114-13-47,22-18-34
漁光道街市熟食中心,香港香港仔香港仔水塘道18號漁暉苑5樓,0114/9/24,22-14-57
海怡社區中心,香港鴨脷洲海怡半島東翼商場1樓,114-8-54,22-14-36
大角咀街市熟食中心,九龍大角咀福全街63號大角咀市政大廈2樓,114-9-46,22-19-19
深水埗民政事務處 - 諮詢服務中心,九龍深水埗長沙灣道303號長沙灣政府合署地下,114-9-37,22-19-54
大窩口體育館,新界葵涌大窩口大廈街39號地下及1樓,0114/7/30,22-22-12
東屯門綜合家庭服務中心,新界屯門安定邨安定友愛社區中心2樓,113-58-36,22-23-15
東涌社區服務綜合大樓,新界大嶼山東涌道420號,113-56-17,22-17-4
長洲公共圖書館,"新界長洲大興堤路2號,長洲市政大樓2樓",114-1-42,2022/12/25
康城社區會堂,新界將軍澳康城路1號日出康城首都,114-16-19,22-17-44
黃泥涌公共圖書館,香港跑馬地毓秀街2號黃泥涌市政大廈3樓,0114/11/9,22-16-8
鯉魚門公園及度假村,香港柴灣道75號,114-14-2,22-16-42
駱克道公共圖書館,香港軒尼詩道225號駱克道市政大廈3至5樓,114-10-32,22-16-41
馬鞍山公園,新界馬鞍山鞍駿街十二號,114-13-52,22-25-38
景林鄰里社區中心,新界將軍澳景林邨,114-15-39,22-19-11
北河街街市熟食中心,九龍深水埗基隆街333號北河街街市市政大廈2樓,114-9-40,22-19-45
屯門民政事務處 - 諮詢服務中心,新界屯門屯喜路1號屯門政府合署2樓,113-58-35,22-23-25
長沙灣社區中心,九龍長沙灣發祥街55號地下及1樓,114-9-32,22-20-24
西灣河街市熟食中心,香港筲箕灣太安街12號西灣河市政大廈地下,114-13-22,22-16-55
運輸署觀塘牌照事務處,九龍觀塘鯉魚門道12號東九龍政府合署5樓,114-13-47,22-18-34
尚德社區會堂,新界將軍澳尚德尚美樓,114-15-24,22-18-41
麥花臣遊樂場,九龍旺角洗衣街59號,0114/10/20,22-19-6
東涌公共圖書館,新界大嶼山東涌文東路39號東涌市政大樓地下及1樓,113-56-37,22-17-26
大埔墟街市熟食中心,新界大埔鄉事會街8號大埔綜合大樓2樓,114-9-60,22-26-46
深水埗運動場,九龍長沙灣興華街3號,0114/9/6,22-20-15
入境事務及人事登記 - 元朗辦事處,新界元朗西菁街23號富達廣場地下B舖位,114-1-44,22-26-29
祥華社區會堂,新界粉嶺新運路38號祥華邨,0114/8/30,22-29-33
青衣邨社區會堂,新界青衣青衣邨第2期,0114/6/8,22-21-24
北區政府合署,新界粉嶺璧峰路3號地下,0114/8/18,22-29-41
電氣道公共圖書館,香港電氣道229號電氣道市政大廈2樓,114-11-37,22-17-22
屯門公共圖書館,新界屯門屯喜路1號,113-58-37,22-23-27
香港仔街市熟食中心,香港香港仔香港仔大道203號香港仔市政大廈2樓,0114/9/16,22-14-58
荃灣就業中心,新界荃灣西樓角路38號荃灣政府合署2樓,114-6-54,22-22-29
鰂魚涌公園,香港鰂魚涌太古城,114-12-56,22-17-18
大成街街市熟食中心,九龍黃大仙彩虹道121號大成街街市大樓2樓,114-11-40,22-20-15
南葵涌公共圖書館,"新界葵涌興芳路166-174號,葵興政府合署4樓",114-7-54,22-21-47
沙田公園,新界沙田源禾路2 號,0114/11/25,22-22-49
將軍澳公共圖書館,新界將軍澳運隆路9號,114-15-34,22-19-5
運輸署土瓜灣驗車中心,九龍朗月街9-10號地下,114-11-35,22-19-1
牛池灣文娛中心,九龍清水灣道 11 號牛池灣市政大廈 2 樓及3樓,114-12-32,22-20-4
良景社區中心,新界屯門良景邨地下至1樓,113-57-50,22-24-27
香港仔樹木廊,香港香港仔水塘道香港仔郊野公園,114-9-34,22-15-14
觀塘碼頭熟食市場,九龍觀塘海濱道190號觀塘碼頭地下及1樓,114-13-21,22-18-25
香港體育館,九龍紅磡暢運道9號地下,114-10-55,22-18-5
南丫島北段公共圖書館,新界南丫島榕樹灣大街1號地下,114-6-34,22-13-38
花園街街市熟食中心,九龍旺角花園街123號A花園街市政大廈3樓,0114/10/15,22-19-15
金管局資訊中心 - 圖書館,香港中環 金融街8號 國際金融中心2期55樓,114-9-33,22-17-7
樂富公共圖書館,九龍聯合道樂富中心第1期3樓112號,0114/11/15,22-20-15
城門谷公園,新界荃灣城門道,0114/7/30,22-22-29
愛秩序灣公園,香港西灣河愛德街10號,114-13-28,22-16-58
士美非路街市熟食中心,香港堅尼地城士美非路12號K士美非路市政大廈2樓,114-7-43,22-16-55
運輸署新九龍灣驗車中心,九龍翠興街8號地下,114-12-39,22-19-3
運輸署香港牌照事務處,香港金鐘道 95 號統一中心 3 樓,114-9-55,22-16-42
屯門市中心社區會堂,新界屯門時代廣場北翼 4樓平台,113-58-33,22-23-36
荔景體育館,新界葵涌荔景邨麗祖路60號地下,114-7-40,22-20-60
入境事務處 - 居留權組,香港灣仔告士打道7號入境事務大樓25樓,0114/10/23,22-16-47
藍田(南)體育館,九龍藍田碧雲道170號地下,114-14-20,22-18-14
屯門就業中心,新界屯門新墟青棉徑3號好勝大廈地下,113-58-45,22-24-15
香港電影資料館,香港西灣河鯉景道50號地下及3樓,114-13-19,22-17-6
添馬公園及中西區海濱長廊(中環段),香港添馬夏愨道,114-9-55,22-16-50
香港文化博物館,新界沙田文林路1號地下,0114/11/7,22-22-39
入境事務大樓,香港灣仔告士打道7號地下及1樓,0114/10/23,22-16-47
聯和墟街市熟食中心,新界粉嶺聯和墟和滿街9號聯和墟市街市2樓,114-8-41,22-29-60
花園街公共圖書館,九龍旺角花園街123號A花園街市政大廈4至5樓,0114/10/15,22-19-15
西營盤社區綜合大樓社區會堂,香港西營盤高街2號地下低層及3樓,114-8-39,22-17-5
遮打花園,香港中環遮打道,114-9-40,22-16-50
大窩口社區中心,新界葵涌大窩口道15號,0114/7/31,22-22-4
美孚社區會堂,九龍 深 水 埗 美 荔 道 33 號 美 孚 政 府 綜 合 大 樓 一 樓 及 二 樓,0114/8/28,22-20-15
寶林體育館,新界將軍澳寶林邨1至2樓,114-15-18,22-19-33
恆安社區中心,新界沙田馬鞍山恆安邨,114-13-36,22-25-2
富亨體育館,新界大埔富亨邨富亨商場1樓,0114/10/17,22-27-30
上水公共圖書館,"新界上水智昌路13號,石湖墟市政大廈3樓",114-7-51,22-30-8
鴨脷洲公共圖書館,"香港鴨脷洲洪聖街8號,鴨脷洲市政大廈5樓",0114/9/20,22-14-40
牛頭角公共圖書館,九龍牛頭角道183號牛頭角市政大廈2至3樓,114-12-58,22-19-16
石籬社區會堂,新界葵涌大白田街2號,0114/8/21,22-21-60
石硤尾公共圖書館,九龍深水埗石硤尾窩仔街100號石硤尾邨服務設施大樓7樓,0114/10/2,22-19-59
金紫荊廣場及灣仔臨時海濱花園,香港灣仔博覽道,0114/10/24,22-17-4
坪洲體育館,新界坪洲寶坪街6號坪洲巿政大廈地下及1樓,0114/2/17,22-17-6
旺角社區會堂,九龍旺角上海街557號旺角綜合大樓2樓,0114/10/5,22-19-7
官涌體育館,九龍佐敦寶靈街17號官涌市政大廈5至6樓,0114/10/6,22-18-16
西灣河文娛中心,香港筲箕灣道111號,114-13-20,22-16-55
翠林體育館,新界將軍澳翠琳路翠林邨地下、1至2樓,114-14-58,22-19-20
青衣公園,新界青衣青綠街60號,0114/6/21,22-21-21
水務署 - 旺角客戶諮詢中心,九龍旺角洗衣街128 號地下,0114/10/18,22-19-14
入境事務處 - 優秀人才及內地居民組,香港灣仔告士打道7號入境事務大樓6樓,0114/10/23,22-16-47
觀塘民政事務處 - 諮詢服務中心,九龍觀塘觀塘道398號嘉域大廈地下,114-13-22,22-18-48
香港海防博物館,香港筲箕灣東喜道175號,114-14-9,22-16-54
學生資助處 (長沙灣政府合署),九龍長沙灣道303號長沙灣政府合署11樓,114-9-37,22-19-54
沙田大會堂,新界沙田源禾路1號平台大堂,0114/11/25,22-22-53
上環體育館,香港上環皇后大道中345號上環市政大廈11樓,114-8-59,22-17-10
獅子會自然教育中心,新界西貢蕉坑,114-15-54,22-22-28
入境事務處 - 外籍家庭傭工組,香港灣仔告士打道7號入境事務大樓3樓,0114/10/23,22-16-47
將軍澳寶寧路母嬰健康院,新界將軍澳寶寧路28號1樓,114-16-5,22-19-4
駿業街遊樂場,九龍觀塘駿業街,114-13-20,22-18-43
粉嶺法院大樓,新界粉嶺壁峰路1號,0114/8/20,22-29-44
馬鞍山公共圖書館,新界沙田馬鞍山鞍駿街14號,114-13-49,22-25-34
天耀社區中心,新界天水圍天耀邨地下至1樓,114-0-16,22-27-1
大埔就業中心,新界大埔汀角路1號大埔政府合署3樓,114-9-51,22-27-3
香港太空館,九龍尖沙咀梳士巴利道10號地下、1樓及地庫,0114/10/19,22-17-39
荃灣公園,新界荃灣永順街59號,114-6-48,22-22-2
東港島就業中心,香港灣仔告士打道5號稅務大樓34樓,0114/10/19,22-16-47
黃泥涌體育館,香港跑馬地毓秀街2號黃泥涌市政大廈4至6樓,0114/11/9,22-16-8
渣華道街市熟食中心,香港北角渣華道99號渣華道市政大廈2樓,114-11-58,22-17-32
屏山天水圍體育館,新界元朗聚星路 1 號,114-0-17,22-26-50
九龍公共圖書館,九龍培正道5號,114-10-34,22-19-7
竹園社區中心,九龍黃大仙竹園邨地下至1樓,114-11-38,22-20-42
大埔海濱公園,新界大埔大發街,114-10-42,22-27-4
維多利亞公園,香港銅鑼灣興發街1號,0114/11/21,22-16-53
中小企業支援與諮詢中心,九龍彌敦道700號工業貿易署大樓閣樓(港鐵旺角站B1出口),0114/10/10,22-19-14
